Glottocode,LANG_IS,Shp_Lng,Shap_Ar,L1_Users,Digits,All_Users,Countries,Family,Classification,Latitude,Longitude,EGIDS,Is_Written,glottolog_macroarea,status,family_id,parent_id,latitude,longitude,child_dialect_count,country_ids,family_name,Family_size,DPLACE subsistence,Forager language definite,Forager language possible,ISO3,LON,LAT,island,written,EA033_Extended
aari1239,aiw,2.188173024,0.240776497,285000,6,298300,1,Afro-Asiatic,"Afro-Asiatic, Omotic, South",5.9341,36.5591,4,T,Africa,safe,sout2845,aari1238,5.95034,36.5721,0,ET,South Omotic,5,1,0,0,ETH,39.55125579,8.653999188,0,1,1
abad1241,kbt,0.68911486,0.023460336,2900,4,2900,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Central Papuan, West Central Papuan, Gabadi",-9.02,146.8967,5,T,Papunesia,safe,aust1307,west2850,-9.03389,146.992,0,PG,Austronesian,1276,NA,0,0,PNG,144.3312156,-6.645007134,1,1,NA
abag1245,abg,0.034462557,8.54E-05,600,3,600,1,Trans-New Guinea,"Trans-New Guinea, Madang, Kalam-Kobon",-6.0952,145.6701,6a,F,Papunesia,critically endangered,nucl1709,unun9976,-6.12028,145.665,0,PG,Nuclear Trans New Guinea,316,NA,0,0,PNG,144.3312156,-6.645007134,1,0,NA
abai1240,abf,0.120730599,0.001128147,NA,NA,NA,1,Austronesian,"Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Paitanic",5.6857,118.3779,7,F,Papunesia,definitely endangered,aust1307,pait1248,5.55394,118.306,0,MY,Austronesian,1276,NA,0,0,MYS,114.675514,3.548111771,1,0,NA
abai1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurasia,safe,aust1307,muru1275,3.524226,116.162455,0,MY,Austronesian,1276,NA,0,0,IDN,114.0226835,-0.254301557,1,NA,NA
aban1242,abm,0.651677425,0.017534806,12500,5,12500,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Ekoid, Bakor",6.246,8.6395,6a,F,Africa,safe,atla1278,aban1244,6.30619,8.63055,0,NG,Atlantic-Congo,1436,NA,0,0,NGA,7.995127754,9.548318418,0,0,NA
abar1238,mij,0.258654882,0.003673225,1850,4,1850,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Yemne-Kimbi",6.5943,10.2154,6b,F,Africa,definitely endangered,atla1278,sout3152,6.5805,10.2267,0,CM,Atlantic-Congo,1436,NA,0,0,CMR,12.61155252,5.66309813,0,0,NA
abau1245,aau,2.719863453,0.179378209,7270,4,7270,1,Sepik,"Sepik, Abau",-4.122,141.2061,5,T,Papunesia,definitely endangered,sepi1257,sepi1257,-3.97222,141.324,0,PG,Sepik,36,NA,1,0,PNG,144.3312156,-6.645007134,1,1,NA
abaz1241,abq,3.140298639,0.077045473,49800,5,49800,2,North Caucasian,"North Caucasian, West Caucasian, Abkhaz-Abazin",44.1489,41.9608,5,T,Eurasia,vulnerable,abkh1242,abkh1243,44.25,42,3,RU TR,Abkhaz-Adyge,5,NA,0,0,RUS,99.21652679,61.69256471,0,1,NA
abee1242,aba,3.58319531,0.322710552,263000,6,263000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby",5.9065,-4.2749,5,T,Africa,safe,atla1278,agne1238,5.59682,-4.38497,4,CI,Atlantic-Congo,1436,NA,0,0,CIV,-5.612043645,7.553755007,0,1,NA
aben1249,abp,0.413017342,0.009986379,3000,4,3000,1,Austronesian,"Austronesian, Malayo-Polynesian, Central Luzon, Sambalic",15.41,120.1964,5,T,Papunesia,definitely endangered,aust1307,abel1234,15.4131,120.2,0,PH,Austronesian,1276,NA,1,0,PHL,121.5444424,15.75094435,1,1,NA
abid1235,abi,1.294841002,0.104850716,50500,5,50500,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby",5.643,-4.5988,5,T,Africa,safe,atla1278,agne1238,5.65656,-4.58421,2,CI,Atlantic-Congo,1436,NA,0,0,CIV,-5.612043645,7.553755007,0,1,NA
abin1243,bsa,2.157619447,0.196200611,300,3,300,1,Language isolate,Language isolate,-2.8484,138.8914,6a,T,Papunesia,definitely endangered,,,-2.92281,138.891,0,ID,NA,1,NA,1,0,IDN,114.0226835,-0.254301557,1,1,NA
abkh1244,abk,2.686181149,0.086556189,190110,6,190110,2,North Caucasian,"North Caucasian, West Caucasian, Abkhaz-Abazin",42.9695,41.1028,2,T,Eurasia,vulnerable,abkh1242,abkh1243,43.056218,41.159115,3,GE RU TR,Abkhaz-Adyge,5,1,0,0,GEO,43.48154042,42.1620187,0,1,1
abom1238,aob,0.045282014,0.000115507,15,2,15,1,Trans-New Guinea,"Trans-New Guinea, Tirio",-8.4253,142.9264,8b,F,Papunesia,critically endangered,anim1240,tiri1259,-8.42448,142.842,0,PG,Anim,17,NA,0,1,PNG,144.3312156,-6.645007134,1,0,NA
