"","group","type"
"1","South America","macroarea"
"365","North America","macroarea"
"834","Oceania","macroarea"
"3052","Eurasia","macroarea"
"4548","Africa","macroarea"
"6637","Afro-Asiatic","top27families"
"6969","Arawakan","top27families"
"7016","Athabaskan-Eyak-Tlingit","top27families"
"7048","Atlantic-Congo","top27families"
"8449","Austroasiatic","top27families"
"8604","Austronesian","top27families"
"9826","Central_Sudanic","top27families"
"9888","Dravidian","top27families"
"9963","Hmong-Mien","top27families"
"10002","Indo-European","top27families"
"10409","Lower_Sepik-Ramu","top27families"
"10439","Mande","top27families"
"10512","Mayan","top27families"
"10542","Nakh-Daghestanian","top27families"
"10575","Nilotic","top27families"
"10626","Nuclear_Torricelli","top27families"
"10681","Nuclear_Trans_New_Guinea","top27families"
"10994","Otomanguean","top27families"
"11169","Pama-Nyungan","top27families"
"11274","Quechuan","top27families"
"11317","Sepik","top27families"
"11353","Sino-Tibetan","top27families"
"11826","Tai-Kadai","top27families"
"11917","Tupian","top27families"
"11969","Turkic","top27families"
"12008","Uralic","top27families"
"12049","Uto-Aztecan","top27families"
"12104","Austronesian","lexicon_families"
"13326","Bantu (Atlantic-Congo)","lexicon_families"
"13334","Turkic","lexicon_families"
"13373","Indo-European","lexicon_families"
"13780","Uralic","lexicon_families"
"13821","Sino-Tibetan","lexicon_families"
"14294","Semitic","lexicon_families"
"14302","Dravidian","lexicon_families"
"14377","Paman-Nyungan","lexicon_families"
"14482","Global","all"
