glottocode,name,isocodes,iso2,iso3,iso_final,Initial_population_size,Last_population_size,Growth_rates,Range_size,level,glottolog_macroarea,status,family_id,parent_id,latitude,longitude,child_dialect_count,country_ids,family_name,Family_size,DPLACE_subsistence,Forager_language_definite,Forager_language_possible,Forager_language_complete,EA033_Extended
ache1246,Aché,guq,,,guq,NA,NA,NA,NA,language,South America,severely endangered,tupi1275,tupi1277,-25.5865,-56.4697,0,PY,Tupian,71,1,1,0,1,0
achu1247,Achumawi,acv,,,acv,NA,NA,NA,NA,language,North America,critically endangered,pala1350,pala1350,41.0979,-121.191,0,US,Palaihnihan,2,1,1,0,1,0
adze1240,Adzera,adz,,,adz,NA,NA,NA,NA,language,Papunesia,vulnerable,aust1307,uppe1423,-6.39394,146.294,0,PG,Austronesian,1276,2,0,0,0,0
agta1234,Agta-Pahanan,apf,,,apf,NA,NA,NA,NA,language,Papunesia,safe,aust1307,para1320,17.0538,122.2802,0,PH,Austronesian,1276,1,0,0,0,0
agus1235,Agusan Manobo,msm,,,msm,15000,60000,1.037507741,9512.800163,language,Papunesia,safe,aust1307,east2478,8.62731,125.742,3,PH,Austronesian,1276,2,0,0,0,0
aimo1244,Aimol,aim,,,aim,108,2640,1.048136372,403.2586002,language,Eurasia,definitely endangered,sino1245,aimo1247,24.6437,94.3556,1,IN NP,Sino-Tibetan,496,2,0,0,0,0
ajyi1238,Ajyíninka Apurucayali,cpc,,,cpc,5000,4000,0,2784.937484,language,South America,vulnerable,araw1281,ashe1271,-9.82364,-74.61947,0,PE,Arawakan,76,2,0,0,0,0
akha1245,Akha,ahk,,,ahk,NA,NA,NA,NA,language,Eurasia,safe,sino1245,akha1246,21.2309,100.964,2,CN LA MM TH VN,Sino-Tibetan,496,2,0,0,0,0
aleu1260,Aleut,ale,,,ale,NA,NA,NA,NA,language,North America,definitely endangered,eski1264,aleu1261,52.1228,-174.29,2,RU US,Eskimo-Aleut,13,1,1,0,1,0
alya1239,Alyawarr,aly,,,aly,NA,NA,NA,NA,language,Australia,vulnerable,pama1250,aran1263,-21.0427,136.835,0,AU,Pama-Nyungan,248,1,1,0,1,0
amah1246,Amahuaca,amc,,,amc,NA,NA,NA,NA,language,South America,severely endangered,pano1259,head1239,-10.2012,-72.3208,2,BR PE,Pano-Tacanan,45,2,0,0,0,0
amas1236,Ama (Sudan),nyi,,,nyi,37000,70000,0,727.0384282,language,Africa,safe,nyim1244,nyim1244,12.0993,29.4332,0,SD,Nyimang,2,2,0,0,0,0
amba1263,Amba (Uganda),rwm,,,rwm,60000,40100,0.979002053,286.5974464,language,Africa,vulnerable,atla1278,komo1265,0.81206,30.0014,3,CD UG,Atlantic-Congo,1436,2,0,0,0,0
ambu1247,Ambulas,abt,,,abt,33000,44000,0,1140.817591,language,Papunesia,vulnerable,nduu1242,ambu1246,-3.7801,143.059,4,PG,Ndu,13,2,0,1,1,0
amis1246,Amis,ami,,,ami,NA,NA,NA,NA,language,Papunesia,vulnerable,aust1307,cent2103,23.0917,121.348,4,TW,Austronesian,1276,2,0,0,0,0
anga1288,Angami Naga,njm,,,njm,NA,NA,NA,NA,language,Eurasia,vulnerable,sino1245,anga1287,25.6841,93.8668,10,IN,Sino-Tibetan,496,2,0,0,0,0
anin1240,Anindilyakwa,aoi,,,aoi,NA,NA,NA,NA,language,Australia,definitely endangered,gunw1250,wubu1239,-13.99904,136.6415,0,AU,Gunwinyguan,12,1,1,0,1,0
anta1253,Antakarinya,ant,,,ant,NA,NA,NA,NA,language,Australia,severely endangered,pama1250,unun9966,-27.1152,134.838,0,AU,Pama-Nyungan,248,1,1,0,1,0
aona1235,Ao Naga,njo,,,njo,NA,NA,NA,NA,language,Eurasia,vulnerable,sino1245,aoic1235,26.3241,94.3824,8,IN,Sino-Tibetan,496,2,0,0,0,0
apin1244,Apinayé,apn,,,apn,NA,NA,NA,NA,language,South America,definitely endangered,nucl1710,core1264,-6.10774,-47.6315,0,BR,Nuclear-Macro-Je,30,2,0,0,0,0
araw1276,Lokono,arw,,,arw,NA,NA,NA,NA,language,South America,severely endangered,araw1281,iner1234,5.64295,-56.9243,0,GF GY SR VE,Arawakan,76,2,0,0,0,0
assi1247,Assiniboine,asb,,,asb,100,250,1.041472641,2915.47548,language,North America,definitely endangered,siou1252,dako1257,49.2923,-106.068,0,CA US,Siouan,18,1,1,0,1,0
asut1235,Asu (Tanzania),asa,,,asa,NA,NA,NA,NA,language,Africa,safe,atla1278,pare1277,-4.17978,37.8323,0,KE TZ,Atlantic-Congo,1436,2,0,0,0,0
bafi1243,Bafia,ksf,,,ksf,17000,60000,1.065721105,481.4264873,language,Africa,safe,atla1278,lefa1243,4.72603,11.0982,2,CM,Atlantic-Congo,1436,2,0,0,0,0
bain1259,Bainounk-Gujaher,bab,,,bab,NA,NA,NA,NA,language,Africa,vulnerable,atla1278,bain1264,12.3128,-16.0586,0,GW,Atlantic-Congo,1436,2,0,0,0,0
baka1272,Baka (Cameroon),bkc,,,bkc,NA,NA,NA,NA,language,Africa,vulnerable,atla1278,baka1278,2.16013,13.7804,0,CF CG CM GA,Atlantic-Congo,1436,1,1,0,1,0
baka1277,Bakairí,bkq,,,bkq,NA,NA,NA,NA,language,South America,definitely endangered,cari1283,peko1235,-14.2628,-54.7034,0,BR,Cariban,42,2,0,0,0,0
bala1301,Balanta-Kentohe,ble,,,ble,218200,423000,1.018342453,10212.09452,language,Africa,safe,atla1278,bala1300,11.8203,-15.3221,4,GW,Atlantic-Congo,1436,2,0,0,0,0
bana1292,Banaro,byz,,,byz,NA,NA,NA,NA,language,Papunesia,definitely endangered,lowe1437,ramu1234,-4.56615,144.329,0,PG,Lower Sepik-Ramu,30,2,0,1,1,0
bata1289,Batak Toba,bbc,,,bbc,1600000,2000000,0,15797.85027,language,Papunesia,vulnerable,aust1307,sout2849,2.35498,99.1761,0,ID,Austronesian,1276,2,0,0,0,0
bata1301,Batak,bya,,,bya,NA,NA,NA,NA,language,Papunesia,definitely endangered,aust1307,bata1317,10.1115,119.025,0,PH,Austronesian,1276,1,1,0,1,0
beav1236,Beaver,bea,,,bea,600,300,0.987583807,1842.500838,language,North America,severely endangered,atha1245,beav1237,56.7984,-120.352,0,CA,Athabaskan-Eyak-Tlingit,46,1,1,0,1,0
bell1243,Bella Coola,blc,,,blc,NA,NA,NA,NA,language,North America,critically endangered,sali1255,sali1255,52.3448,-126.689,3,CA,Salishan,25,1,1,0,1,0
