ISO,Reported endangerment level,Years,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7]
aaa,1,40,0.896565068,0.085359946,0.013868397,0.003189048,0.000998245,1.82e-05,1.11e-06
aab,1,40,0.790535876,0.159096462,0.035779091,0.010333457,0.004129893,0.000115812,9.41e-06
aac,2,40,0.431033975,0.314106367,0.139607439,0.065688893,0.04587983,0.003193904,0.000489592
aad,1,40,0.520971777,0.291114321,0.110892448,0.046655172,0.028536565,0.001616191,0.000213526
aae,2,40,0.739225947,0.1905303,0.048226578,0.015143644,0.006636044,0.000217802,1.97e-05
aaf,2,40,0.199492651,0.296351378,0.205880871,0.134586371,0.14147792,0.017900553,0.004310256
aag,1,40,0.571067346,0.273189771,0.09539921,0.037697919,0.021433541,0.001080723,0.000131491
aai,1,40,0.924934159,0.063525113,0.009078003,0.001909407,0.000544489,8.37e-06,4.57e-07
aak,1,40,0.856341133,0.114747628,0.021502856,0.005462902,0.001900754,4.18e-05,2.89e-06
aal,2,40,0.62187939,0.251692145,0.080262529,0.02971445,0.015673257,0.000700005,7.82e-05
aan,5,40,0,0,0,0,0,0,1
aap,1,40,0.341255156,0.322953613,0.168208807,0.088872812,0.071456662,0.006150481,0.001102469
aaq,6,40,0,0,0,0,0,0,1
aar,1,40,0.996657886,0.003145954,0.00017412,1.92e-05,2.87e-06,1.27e-08,3.16e-10
aas,5,40,0,0,0,0,0,0,1
aat,3,40,0.55441351,0.279522687,0.10049397,0.040552348,0.023624174,0.001238434,0.000154877
aau,1,40,0.796960648,0.154966266,0.034297434,0.009794437,0.003866566,0.000106147,8.5e-06
aaw,1,40,0.880102332,0.097603406,0.016881815,0.004055188,0.001329254,2.63e-05,1.69e-06
aax,1,40,0.806854149,0.148521964,0.032051289,0.008991496,0.003481446,9.24e-05,7.24e-06
aaz,1,40,0.883616163,0.095015627,0.016225195,0.003862789,0.001254262,2.44e-05,1.55e-06
aba,1,40,0.975831247,0.021671643,0.002088937,0.000335013,7.25e-05,6.64e-07,2.6e-08
abb,2,40,0.802380661,0.151448496,0.033061534,0.009350498,0.003652563,9.85e-05,7.79e-06
abc,1,40,0.405822458,0.318159758,0.147724991,0.071757381,0.052076923,0.003843593,0.000614897
abd,1,40,0.600890763,0.260959646,0.0864355,0.032882344,0.017893707,0.000840707,9.73e-05
abe,5,40,0,0,0,0,0,0,1
abf,3,40,0.020230429,0.091762852,0.137460368,0.161081702,0.378914095,0.13291689,0.077633665
abg,5,40,0,0,0,0,0,0,1
abi,1,40,0.949484483,0.043814299,0.005406452,0.001027394,0.000263867,3.34e-06,1.61e-07
abj,7,40,0,0,0,0,0,0,1
abk,1,40,0.818991724,0.140476353,0.029355913,0.00805106,0.003041693,7.74e-05,5.89e-06
abl,1,40,0.88205724,0.096165395,0.016515627,0.003947644,0.001287238,2.52e-05,1.62e-06
abm,1,40,0.89513514,0.086435529,0.01412368,0.003260715,0.001024968,1.88e-05,1.15e-06
abn,1,40,0.9656812,0.030339427,0.003276821,0.000568149,0.000132929,1.41e-06,6.08e-08
abo,1,40,0.707237861,0.20871459,0.056500674,0.018608911,0.008599625,0.000308681,2.97e-05
abp,1,40,0.631118553,0.247444679,0.077583343,0.028376369,0.014761602,0.000644552,7.09e-05
abq,1,40,0.767865314,0.17332588,0.041147376,0.012347151,0.005145972,0.000155079,1.32e-05
abr,1,40,0.983145699,0.01529883,0.00131963,0.000196171,3.93e-05,3.12e-07,1.11e-08
abt,1,40,0.990253116,0.008981979,0.000660764,8.81e-05,1.59e-05,1.02e-07,3.2e-09
abu,1,40,0.964947749,0.030958668,0.003367403,0.000586693,0.000137942,1.48e-06,6.41e-08
abw,1,40,0.820777774,0.139279437,0.028965015,0.007916807,0.002979949,7.53e-05,5.71e-06
abx,1,40,0.587866158,0.266438675,0.090323636,0.034939376,0.019381704,0.000939309,0.000111143
aby,1,40,0.800233241,0.15284591,0.03354965,0.009525209,0.00373647,0.000101454,8.07e-06
abz,1,40,0.792725151,0.157693913,0.035272198,0.010148222,0.004038974,0.00011245,9.09e-06
aca,2,40,0.152051687,0.270779258,0.212170426,0.151741653,0.179320668,0.02664353,0.007292777
acd,1,40,0.856737824,0.11446642,0.021423211,0.005437877,0.001890267,4.15e-05,2.87e-06
ace,2,40,0.96702178,0.029205229,0.003112823,0.000534828,0.000123989,1.3e-06,5.51e-08
ach,1,40,0.996348205,0.00343249,0.000194289,2.17e-05,3.3e-06,1.51e-08,3.8e-10
aci,7,40,0,0,0,0,0,0,1
ack,7,40,0,0,0,0,0,0,1
acl,7,40,0,0,0,0,0,0,1
acn,3,40,0.7833896,0.163639873,0.037448007,0.010949372,0.004435349,0.000127295,1.05e-05
acp,1,40,0.75460478,0.181399365,0.044385083,0.013606565,0.005806089,0.000182153,1.6e-05
acr,1,40,0.927301035,0.061659229,0.008703472,0.001815064,0.000513019,7.76e-06,4.19e-07
acs,7,40,0,0,0,0,0,0,1
acu,1,40,0.763357617,0.176091057,0.042240072,0.012768465,0.005364754,0.000163922,1.41e-05
acv,5,40,0,0,0,0,0,0,1
acz,1,40,0.623818035,0.250809323,0.079698374,0.029430851,0.015478724,0.000688057,7.66e-05
ada,1,40,0.972886423,0.024206076,0.002420308,0.000398018,8.83e-05,8.49e-07,3.42e-08
add,1,40,0.806150193,0.148983873,0.032209669,0.009047546,0.003508046,9.34e-05,7.32e-06
ade,1,40,0.930376655,0.059224008,0.008223012,0.001695387,0.000473554,7.01e-06,3.73e-07
adg,5,40,0,0,0,0,0,0,1
adh,1,40,0.969721857,0.02691133,0.002788822,0.000470007,0.000106863,1.08e-06,4.47e-08
adi,1,40,0.932719491,0.057360845,0.007861836,0.00160645,0.000444568,6.47e-06,3.41e-07
adj,1,40,0.974491497,0.022826779,0.002238265,0.000363192,7.95e-05,7.45e-07,2.95e-08
adl,1,40,0.841201497,0.125354465,0.024603043,0.006456618,0.002326022,5.44e-05,3.92e-06
adn,2,40,0.640767438,0.242901243,0.074811354,0.02701515,0.013850398,0.000590525,6.39e-05
ado,1,40,0.891028642,0.089511476,0.014863753,0.003470308,0.001103834,2.07e-05,1.29e-06
adq,2,40,0.687272885,0.219501796,0.061848838,0.020959494,0.010000591,0.000378655,3.77e-05
adr,1,40,0.852476145,0.117478649,0.022283145,0.005709425,0.002004667,4.48e-05,3.13e-06
adt,5,40,0,0,0,0,0,0,1
adw,2,40,0.07819015,0.20130768,0.20273585,0.175208989,0.267080936,0.055431949,0.020044446
adx,1,40,0.941944704,0.049954169,0.006481718,0.001275205,0.000339378,4.59e-06,2.31e-07
ady,1,40,0.921395546,0.066301635,0.009645554,0.002054072,0.000593333,9.34e-06,5.18e-07
adz,1,40,0.987246138,0.011671474,0.000927167,0.00013031,2.47e-05,1.76e-07,5.86e-09
