"","tip.labels","group"
"1","acat1239","America"
"2","azoy1236","America"
"3","mali1285","America"
"4","tlac1237","America"
"5","moni1237","America"
"6","atzi1235","America"
"7","sanf1262","America"
"8","chic1272","America"
"9","cent2144","America"
"10","mich1246","America"
"11","east2556","America"
"12","tena1241","America"
"13","texc1235","America"
"14","ixte1237","America"
"15","tila1239","America"
"16","mezq1235","America"
"17","quer1236","America"
"18","esta1236","America"
"19","temo1245","America"
"20","cent2145","America"
"21","nort2984","America"
"22","chil1282","America"
"23","tlac1239","America"
"24","usil1237","America"
"25","soch1239","America"
"26","ojit1237","America"
"27","pala1351","America"
"28","tepe1279","America"
"29","coma1246","America"
"30","quio1240","America"
"31","lala1270","America"
"32","leal1235","America"
"33","tepi1241","America"
"34","ozum1235","America"
"35","vall1253","America"
"36","alac1244","America"
"37","alco1235","America"
"38","yolo1241","America"
"39","metl1238","America"
"40","amol1236","America"
"41","ayut1236","America"
"42","juxt1235","America"
"43","west2643","America"
"44","diux1235","America"
"45","huit1252","America"
"46","tama1339","America"
"47","sanm1294","America"
"48","yuta1240","America"
"49","sind1277","America"
"50","tlaz1235","America"
"51","mitl1235","America"
"52","peno1244","America"
"53","atat1238","America"
"54","sanm1295","America"
"55","tija1235","America"
"56","itun1239","America"
"57","magd1235","America"
"58","sanj1282","America"
"59","sant1439","America"
"60","ocot1243","America"
"61","yoso1239","America"
"62","sout3000","America"
"63","nort2985","America"
"64","sini1243","America"
"65","taca1257","America"
"66","yucu1250","America"
"67","apas1235","America"
"68","soya1236","America"
"69","sout3002","America"
"70","chay1249","America"
"71","jami1235","America"
"72","ixta1235","America"
"73","sanj1281","America"
"74","tutu1243","America"
"75","pino1237","America"
"76","sant1436","America"
"77","coat1241","America"
"78","tida1235","America"
"79","cuya1240","America"
"80","nort2986","America"
"81","sila1250","America"
"82","mixt1425","America"
"83","tezo1238","America"
"84","caca1250","America"
"85","chaz1235","America"
"86","chig1239","America"
"87","sout3001","America"
"88","tepe1280","America"
"89","teut1235","America"
"90","chic1273","America"
"91","sanm1298","America"
"92","copa1237","America"
"93","guer1243","America"
"94","sanp1260","America"
"95","ipal1235","America"
"96","aloa1235","America"
"97","yate1242","America"
"98","sout3004","America"
"99","yare1249","America"
"100","yala1267","America"
"101","yatz1235","America"
"102","sier1250","America"
"103","sout3005","America"
"104","zoog1238","America"
"105","cajo1238","America"
"106","taba1268","America"
"107","choa1237","America"
"108","rinc1236","America"
"109","asun1236","America"
"110","isth1244","America"
"111","mitl1236","America"
"112","sanp1261","America"
"113","quia1235","America"
"114","chic1274","America"
"115","guev1238","America"
"116","ocot1244","America"
"117","zaac1239","America"
"118","ayoq1235","America"
"119","maza1294","America"
"120","sant1450","America"
"121","teja1235","America"
"122","peta1247","America"
"123","guil1236","America"
"124","sanj1284","America"
"125","sant1448","America"
"126","sant1447","America"
"127","tilq1235","America"
"128","lach1250","America"
"129","sant1451","America"
"130","amat1238","America"
"131","loxi1235","America"
"132","yaut1235","America"
"133","miah1235","America"
"134","sana1286","America"
"135","ozol1235","America"
"136","mixt1426","America"
"137","quio1241","America"
"138","coat1244","America"
"139","lapa1249","America"
"140","xada1235","America"
"141","sant1452","America"
"142","xana1235","America"
"143","tlac1240","America"
"144","elot1235","America"
"145","texm1235","America"
"146","zani1235","America"
"147","coat1243","America"
"148","sanb1241","America"
"149","sanv1242","America"
"150","elal1235","America"
"151","lach1249","America"
"152","toto1308","America"
"153","east2558","America"
"154","nopa1235","America"
"155","zaca1242","America"
"156","west2644","America"
"157","tata1258","America"
"158","zenz1235","America"
"159","ayau1235","America"
"160","ixca1246","America"
"161","chiq1250","America"
"162","jala1237","America"
"163","huau1238","America"
"164","maza1296","America"
"165","sanj1286","America"
"166","soya1237","America"
"167","choc1279","America"
"168","coyo1236","America"
"169","sant1454","America"
"170","sanf1264","America"
"171","sanl1248","America"
"172","mezo1235","America"
"173","sanm1301","America"
"174","sanj1285","America"
"175","ixca1245","America"
"176","pure1242","America"
"177","west2631","America"
"178","achi1256","America"
"179","kich1262","America"
"180","kaqc1270","America"
"181","tzut1248","America"
"182","saca1238","America"
"183","sipa1247","America"
"184","poqo1253","America"
"185","poqo1254","America"
"186","kekc1242","America"
"187","uspa1245","America"
"188","agua1252","America"
"189","ixil1251","America"
"190","mamm1241","America"
"191","tekt1235","America"
"192","itza1241","America"
"193","mopa1243","America"
"194","laca1243","America"
"195","yuca1254","America"
"196","chol1282","America"
"197","taba1266","America"
"198","chor1273","America"
"199","tzel1254","America"
"200","tzot1259","America"
"201","chuj1250","America"
"202","tojo1241","America"
"203","moch1257","America"
"204","popt1235","America"
"205","qanj1241","America"
"206","west2635","America"
"207","huas1242","America"
"208","chim1300","America"
"209","copa1236","America"
"210","fran1266","America"
"211","rayo1235","America"
"212","jito1235","America"
"213","high1276","America"
"214","taba1264","America"
"215","texi1237","America"
"216","coat1238","America"
"217","isth1238","America"
"218","maza1292","America"
"219","juqu1238","America"
"220","nort2939","America"
"221","tlah1239","America"
"222","ulte1235","America"
"223","toto1305","America"
"224","olut1240","America"
"225","tapa1260","America"
"226","sayu1241","America"
"227","maya1285","America"
"228","ulwa1239","America"
"229","misk1235","America"
"230","sand1278","America"
"231","sanm1287","America"
"232","sanf1258","America"
"233","sant1422","America"
"234","toll1241","America"
"235","cayu1261","America"
"236","sene1264","America"
"237","onon1246","America"
"238","wyan1247","America"
"239","moha1258","America"
"240","onei1249","America"
"241","tusc1257","America"
"242","cher1273","America"
"243","high1242","America"
"244","lowl1260","America"
"245","kash1280","America"
"246","sout2984","America"
"247","cahu1264","America"
"248","tuba1278","America"
"249","hopi1249","America"
"250","coma1245","America"
"251","pana1305","America"
"252","shos1248","America"
"253","mono1275","America"
"254","nort2954","America"
"255","kawa1283","America"
"256","utes1238","America"
"257","cent2131","America"
"258","lowl1265","America"
"259","sout2971","America"
"260","nort2956","America"
"261","sout2972","America"
"262","huar1255","America"
"263","cent2132","America"
"264","more1259","America"
"265","nort2957","America"
"266","tete1251","America"
"267","coat1240","America"
"268","tlam1239","America"
"269","tema1239","America"
"270","east2695","America"
"271","west2778","America"
"272","mich1245","America"
"273","cent2133","America"
"274","sant1423","America"
"275","zaca1241","America"
"276","sout2973","America"
"277","sier1248","America"
"278","oriz1235","America"
"279","pipi1250","America"
"280","guer1241","America"
"281","nort2958","America"
"282","cent2134","America"
"283","east2538","America"
"284","west2624","America"
"285","high1278","America"
"286","isth1240","America"
"287","isth1241","America"
"288","isth1242","America"
"289","taba1265","America"
"290","huax1236","America"
"291","omet1237","America"
"292","elna1235","America"
"293","sant1424","America"
"294","huic1243","America"
"295","nort2959","America"
"296","sout2976","America"
"297","sout2977","America"
"298","pima1248","America"
"299","toho1245","America"
"300","mayo1264","America"
"301","yaqu1251","America"
"302","zuni1245","America"
"303","achu1247","America"
"304","chin1286","America"
"305","nort2938","America"
"306","sout2956","America"
"307","cent2140","America"
"308","sout2985","America"
"309","nort2968","America"
"310","karo1304","America"
"311","east1472","America"
"312","west2632","America"
"313","kute1249","America"
"314","patw1250","America"
"315","gitx1241","America"
"316","nisg1240","America"
"317","nucl1649","America"
"318","ahte1237","America"
"319","tana1289","America"
"320","nort2941","America"
"321","sout2957","America"
"322","uppe1437","America"
"323","dege1248","America"
"324","uppe1438","America"
"325","koyu1237","America"
"326","hann1241","America"
"327","lowe1425","America"
"328","tana1290","America"
"329","gwic1235","America"
"330","babi1235","America"
"331","beav1236","America"
"332","seka1250","America"
"333","dogr1252","America"
"334","nort2942","America"
"335","sout2959","America"
"336","kask1239","America"
"337","tagi1240","America"
"338","tahl1239","America"
"339","carr1249","America"
"340","sout2958","America"
"341","chip1261","America"
"342","chil1280","America"
"343","sars1236","America"
"344","hupa1239","America"
"345","jica1244","America"
"346","mesc1238","America"
"347","west2615","America"
"348","nava1243","America"
"349","tlin1245","America"
"350","aleu1260","America"
"351","cent2127","America"
"352","paci1278","America"
"353","east2534","America"
"354","west2618","America"
"355","nort2943","America"
"356","nort2945","America"
"357","bell1243","America"
"358","como1259","America"
"359","squa1248","America"
"360","stra1244","America"
"361","lush1252","America"
"362","sech1246","America"
"363","halk1245","America"
"364","coeu1236","America"
"365","okan1243","America"
"366","colu1241","America"
"367","kali1308","America"
"368","spok1245","America"
"369","lill1248","America"
"370","shus1248","America"
"371","thom1243","America"
"372","diti1235","America"
"373","nuuc1236","America"
"374","hais1244","America"
"375","heil1246","America"
"376","kwak1269","America"
"377","nezp1238","America"
"378","teni1238","America"
"379","umat1237","America"
"380","wall1238","America"
"381","yaki1237","America"
"382","yoku1256","America"
"383","wash1253","America"
"384","coco1261","America"
"385","ipai1240","America"
"386","kumi1248","America"
"387","kwat1246","America"
"388","mari1440","America"
"389","moha1256","America"
"390","quec1382","America"
"391","hava1248","America"
"392","paip1241","America"
"393","kili1268","America"
"394","coyu1235","America"
"395","high1243","America"
"396","papa1238","America"
"397","filo1235","America"
"398","west1511","America"
"399","tecp1235","America"
"400","uppe1275","America"
"401","xico1235","America"
"402","yecu1235","America"
"403","hueh1236","America"
"404","pisa1237","America"
"405","tlac1235","America"
"406","algo1255","America"
"407","seve1240","America"
"408","otta1242","America"
"409","cent2136","America"
"410","chip1241","America"
"411","east2542","America"
"412","nort2961","America"
"413","west1510","America"
"414","pota1247","America"
"415","kick1244","America"
"416","mesk1242","America"
"417","shaw1249","America"
"418","arap1274","America"
"419","chey1247","America"
"420","siks1238","America"
"421","atik1240","America"
"422","mont1268","America"
"423","nask1242","America"
"424","moos1236","America"
"425","nort1552","America"
"426","sout2978","America"
"427","plai1258","America"
"428","wood1236","America"
"429","swam1239","America"
"430","male1292","America"
"431","mikm1235","America"
"432","muns1251","America"
"433","west2630","America"
"434","meno1252","America"
"435","seri1257","America"
"436","nort2951","America"
"437","assi1247","America"
"438","ston1242","America"
"439","dako1258","America"
"440","lako1247","America"
"441","hoch1243","America"
"442","omah1247","America"
"443","crow1244","America"
"444","hida1246","America"
"445","alab1237","America"
"446","koas1236","America"
"447","mika1239","America"
"448","chic1270","America"
"449","choc1276","America"
"450","cree1270","America"
"451","yuch1247","America"
"452","arik1262","America"
"453","pawn1254","America"
"454","cadd1256","America"
"455","jeme1245","America"
"456","nort1550","America"
"457","picu1248","America"
"458","sout2961","America"
"459","tewa1260","America"
"460","kiow1266","America"
"461","gari1256","America"
"462","bugl1243","America"
"463","ngab1239","America"
"464","brib1243","America"
"465","cabe1245","America"
"466","teri1250","America"
"467","male1297","America"
"468","rama1270","America"
"469","pech1241","America"
"470","aari1239","Global"
"471","gayi1237","Global"
"472","hame1242","Global"
"473","karo1297","Global"
"474","dime1235","Global"
"475","kang1288","Global"
"476","katc1249","Global"
"477","tuli1249","Global"
"478","kron1241","Global"
"479","tumt1243","Global"
"480","keig1242","Global"
"481","kuna1268","Global"
"482","abad1241","Global"
"483","kuni1263","Global"
"484","tour1243","Global"
"485","lala1268","Global"
"486","waim1251","Global"
"487","meke1243","Global"
"488","motu1246","Global"
"489","hula1239","Global"
"490","keap1239","Global"
"491","sina1266","Global"
"492","mago1248","Global"
"493","nimo1246","Global"
"494","sude1239","Global"
"495","budi1249","Global"
