"group","variable","lower_95_HPDI","upper_95_HPDI","median_value","range"
"Global","tree_length",12.42,13.37,12.89,"12.42-13.37"
"Oceania","tree_length",4.2,4.69,4.401,"4.2-4.69"
"Africa","tree_length",3.92,4.69,4.283,"3.92-4.69"
"Eurasia","tree_length",2.36,2.69,2.526,"2.36-2.69"
"South America","tree_length",0.92,1.03,0.9743,"0.92-1.03"
"North America","tree_length",0.89,1.08,0.9845,"0.89-1.08"
"Global","crown_age",79.82,190.01,126.3,"79.82-190.01"
"Oceania","crown_age",54.74,77.462,65.05,"54.74-77.462"
"Africa","crown_age",79.82,190.01,126.3,"79.82-190.01"
"Eurasia","crown_age",63.39,78.151,71.37,"63.39-78.151"
"South America","crown_age",13.23,17.54,14.62,"13.23-17.54"
"North America","crown_age",16.87,17.54,17.36,"16.87-17.54"
