"","covariate","prop_below_zero","prop_above_zero","prop_below_zero2","prop_above_zero2"
"1","-5000_Prop. Island Languages_poisson",0.732,0,0.732,0
"2","-5000_Mean Spoken Area_poisson",0,0.897,0,0.897
"3","-5000_Distance to City_poisson",0,0.187,0,0.187
"4","-5000_Human Pop. Density_poisson",0,1,0,1
"5","-5000_Landscape Friction_poisson",0,0.185,0,0.185
"6","-4250_Prop. Island Languages_poisson",0.784,0,0.784,0
"7","-4250_Mean Spoken Area_poisson",0,0.996,0,0.996
"8","-4250_Distance to City_poisson",0,0.607,0,0.607
"9","-4250_Human Pop. Density_poisson",0,1,0,1
"10","-4250_Landscape Friction_poisson",0,0.269,0,0.269
"11","-3500_Prop. Island Languages_poisson",0.269,0,0.269,0
"12","-3500_Mean Spoken Area_poisson",0,0.995,0,0.995
"13","-3500_Distance to City_poisson",0,0.856,0,0.856
"14","-3500_Human Pop. Density_poisson",0,1,0,1
"15","-3500_Landscape Friction_poisson",0,0.23,0,0.23
