"","Group.1","x","x_round"
"1","-3500_Distance to City_poisson",0.856,"85.6%"
"2","-3500_Human Pop. Density_poisson",1,"100%"
"3","-3500_Landscape Friction_poisson",0.23,"23%"
"4","-3500_Mean Spoken Area_poisson",0.995,"99.5%"
"5","-3500_Prop. Island Languages_poisson",0.269,"26.9%"
"6","-4250_Distance to City_poisson",0.607,"60.7%"
"7","-4250_Human Pop. Density_poisson",1,"100%"
"8","-4250_Landscape Friction_poisson",0.269,"26.9%"
"9","-4250_Mean Spoken Area_poisson",0.996,"99.6%"
"10","-4250_Prop. Island Languages_poisson",0.784,"78.4%"
"11","-5000_Distance to City_poisson",0.187,"18.7%"
"12","-5000_Human Pop. Density_poisson",1,"100%"
"13","-5000_Landscape Friction_poisson",0.185,"18.5%"
"14","-5000_Mean Spoken Area_poisson",0.897,"89.7%"
"15","-5000_Prop. Island Languages_poisson",0.732,"73.2%"
