"","Group.1","x","Group.1","x"
"1","-3500_Distance to City_poisson",0.234586518065252,"-3500_Distance to City_poisson",0.0461634123823819
"2","-3500_Human Pop. Density_poisson",0.334011505646351,"-3500_Human Pop. Density_poisson",0.0380902443698732
"3","-3500_Landscape Friction_poisson",0.0816757233571076,"-3500_Landscape Friction_poisson",0.038318810443994
"4","-3500_Mean Spoken Area_poisson",0.159457106796458,"-3500_Mean Spoken Area_poisson",0.0250037249847583
"5","-3500_Prop. Island Languages_poisson",-0.142546445965288,"-3500_Prop. Island Languages_poisson",0.0520234516662473
"6","-4250_Distance to City_poisson",0.2413424815424,"-4250_Distance to City_poisson",0.05568507858102
"7","-4250_Human Pop. Density_poisson",0.403715192313318,"-4250_Human Pop. Density_poisson",0.0388453878104651
"8","-4250_Landscape Friction_poisson",0.11206492985796,"-4250_Landscape Friction_poisson",0.042557341127635
"9","-4250_Mean Spoken Area_poisson",0.186464518327874,"-4250_Mean Spoken Area_poisson",0.0271908633705367
"10","-4250_Prop. Island Languages_poisson",-0.24131904169953,"-4250_Prop. Island Languages_poisson",0.0483827813632053
"11","-5000_Distance to City_poisson",0.198578554722207,"-5000_Distance to City_poisson",0.064714165301823
"12","-5000_Human Pop. Density_poisson",0.410359001330206,"-5000_Human Pop. Density_poisson",0.0429634290911586
"13","-5000_Landscape Friction_poisson",0.12388532670531,"-5000_Landscape Friction_poisson",0.0465120029360233
"14","-5000_Mean Spoken Area_poisson",0.164364420610162,"-5000_Mean Spoken Area_poisson",0.031391423765919
"15","-5000_Prop. Island Languages_poisson",-0.265299263687991,"-5000_Prop. Island Languages_poisson",0.0550590464310442
