Glottocode,macroarea
aari1239,Africa
abad1241,Sahul
abag1245,Sahul
abai1240,Sahul
abai1241,Eurasia
aban1242,Africa
abar1238,Africa
abau1245,Sahul
abaz1241,Eurasia
abee1242,Africa
aben1249,Sahul
abid1235,Africa
abin1243,Sahul
abkh1244,Eurasia
abom1238,Sahul
abon1238,Africa
abro1238,Africa
abua1244,Africa
abua1245,Sahul
abui1241,Sahul
abun1252,Sahul
abur1243,Africa
abur1244,Africa
abuu1241,Sahul
acat1239,North America
acha1249,Eurasia
acha1250,South America
ache1244,Eurasia
ache1245,Africa
ache1246,South America
achi1256,North America
achi1257,Eurasia
achu1247,North America
achu1248,South America
acol1236,Africa
adam1253,Africa
adan1247,Africa
adan1248,Africa
adan1251,Sahul
adas1235,Sahul
adel1244,Africa
adho1243,Africa
adio1239,Africa
adiv1239,Eurasia
adiw1235,Eurasia
adny1235,Sahul
adon1237,Sahul
adyg1241,Eurasia
adze1240,Sahul
aeka1244,Sahul
aeky1238,Sahul
aerr1238,Eurasia
afad1236,Africa
afar1241,Africa
afit1238,Africa
afud1235,Africa
agar1252,Sahul
agat1236,Africa
aghe1239,Africa
aghu1253,Eurasia
aghu1255,Sahul
agii1245,Sahul
agob1244,Sahul
agoi1246,Africa
agta1234,Sahul
agua1252,North America
agua1253,South America
agun1238,Africa
agus1235,Sahul
agut1237,Sahul
agwa1247,Africa
ahan1243,Africa
ahan1244,Africa
aheu1239,Eurasia
ahin1234,Sahul
ahte1237,North America
ahwa1235,Africa
aich1238,Eurasia
aigh1235,Sahul
aika1237,South America
aikl1237,Sahul
aima1241,Eurasia
aime1238,Sahul
aimo1244,Eurasia
ainb1238,Sahul
ainu1240,Eurasia
ainu1251,Eurasia
aiom1240,Sahul
airo1242,Sahul
aito1238,Eurasia
ajab1235,Africa
ajas1235,Africa
ajie1238,Sahul
ajyi1238,South America
akaa1242,Africa
akan1250,Africa
akas1242,Africa
akaw1239,South America
akeb1238,Africa
akee1238,Africa
akei1237,Sahul
akeu1235,Eurasia
akha1245,Eurasia
akhv1239,Eurasia
akkk1240,Sahul
akla1241,Sahul
akol1237,Sahul
akoo1248,Africa
akoy1238,Sahul
akpa1238,Africa
akpe1248,Africa
akru1241,Sahul
akuk1235,Africa
akum1238,Africa
akun1241,South America
akwa1248,Africa
alab1237,North America
alab1246,Sahul
alab1254,Africa
alac1244,North America
alag1242,Africa
alag1248,Africa
alak1253,Eurasia
alam1246,Sahul
alan1249,Sahul
alaw1244,Sahul
alba1269,Sahul
alco1235,North America
aleg1238,Africa
alek1238,Sahul
aleu1260,North America
alge1239,Africa
alge1240,Africa
algo1255,North America
alii1240,Africa
alla1247,Eurasia
alla1248,Africa
aloa1235,North America
alop1235,Eurasia
alor1247,Sahul
alug1235,Eurasia
aluk1238,Eurasia
alum1246,Africa
alun1238,Sahul
aluo1235,Eurasia
alur1250,Africa
alut1245,Eurasia
alvi1241,Eurasia
alya1239,Sahul
amah1245,Sahul
amah1246,South America
amai1246,Sahul
amal1242,Sahul
amam1246,Sahul
aman1265,Sahul
amap1240,Sahul
amar1271,Sahul
amar1272,Sahul
amar1273,Sahul
amar1274,South America
amas1236,Africa
amat1238,North America
amba1263,Africa
amba1265,Sahul
amba1266,Sahul
amba1267,Sahul
amba1269,Sahul
ambe1247,Africa
ambe1248,Sahul
ambl1237,Sahul
ambo1249,Africa
ambo1252,South America
ambr1239,Sahul
ambu1247,Sahul
amda1238,Africa
amdo1237,Eurasia
amel1241,Sahul
amga1235,Sahul
amha1245,Africa
amii1238,Sahul
amis1246,Sahul
amol1235,Sahul
amol1236,North America
amoo1242,Africa
ampa1238,Africa
ampa1239,Sahul
amri1238,Eurasia
amto1250,Sahul
amun1246,South America
anaa1238,Africa
